"PO#","Order by ipage login","Date Ordered","Time Ordered","Order type","Shipping Instructions","Warehouse Selection","Vendor","Product Code","EAN","Title","Author","Binding","Publisher","Pub Date","Price","PO# (line level)","Confirmation Status","Backorder","Backorder Cancellation Date","Quantity Ordered","Quantity Shipped","Quantity Backordered","Quantity Cancelled","Attention Line","Discount","Notes","Indexed","Imprint Symbol","Imprint Font","Imprint Font Color","Position","Imprint 1st Line","Imprint 2nd Line","Imprint 3rd Line","Imprint 4th Line"
"SL00020","wahlstedtj","04/15/2024","09:14:15","IMMEDIATE RELEASE","                              ","DC Pairs","INGRAM","9780765389220       ","9780765389220","Starter Villain","Scalzi, John","Hardcover","Tor Books","09/19/23",28.99,"","STOCKED & SHIPPED"," "," ",2,2,0,0,null,"40.00","","N","","","","","","","",""
"SL00020","wahlstedtj","04/15/2024","09:14:15","IMMEDIATE RELEASE","                              ","DC Pairs","INGRAM","9780800741853       ","9780800741853","Embers in the London Sky","Sundin, Sarah","Paperback","Fleming H. Revell Company","02/06/24",17.99,"","STOCKED & SHIPPED"," "," ",2,2,0,0,null,"40.00","","N","","","","","","","",""
"SL00020","wahlstedtj","04/15/2024","09:14:15","IMMEDIATE RELEASE","                              ","DC Pairs","INGRAM","9780800744717       ","9780800744717","Just for the Summer","Carlson, Melody","Paperback","Fleming H. Revell Company","03/19/24",16.99,"","STOCKED & SHIPPED"," "," ",1,1,0,0,null,"40.00","","N","","","","","","","",""
"SL00020","wahlstedtj","04/15/2024","09:14:15","IMMEDIATE RELEASE","                              ","DC Pairs","INGRAM","9780802159878       ","9780802159878","Killing Hills","Offutt, Chris","Paperback","Grove Press","06/07/22",17,"","STOCKED & SHIPPED"," "," ",2,2,0,0,null,"40.00","","N","","","","","","","",""
"SL00020","wahlstedtj","04/15/2024","09:14:15","IMMEDIATE RELEASE","                              ","DC Pairs","INGRAM","9780804172707       ","9780804172707","Little Life","Yanagihara, Hanya","Paperback","Anchor Books","01/26/16",18,"","STOCKED & SHIPPED"," "," ",3,3,0,0,null,"40.00","","N","","","","","","","",""
"SL00020","wahlstedtj","04/15/2024","09:14:15","IMMEDIATE RELEASE","                              ","DC Pairs","INGRAM","9780813174402       ","9780813174402","Insurrections: Stories","Scott, Rion Amilcar","Paperback","University Press of Kentucky","07/20/17",19.95,"","Primary standard service"," "," ",2,2,0,0,null,"20.00","","N","","","","","","","",""
"SL00020","wahlstedtj","04/15/2024","09:14:15","IMMEDIATE RELEASE","                              ","DC Pairs","INGRAM","9780813174990       ","9780813174990","Birds of Opulence","Wilkinson, Crystal","Paperback","University Press of Kentucky","02/23/18",19.95,"","STOCKED & SHIPPED"," "," ",2,2,0,0,null,"40.00","","N","","","","","","","",""
"SL00020","wahlstedtj","04/15/2024","09:14:15","IMMEDIATE RELEASE","                              ","DC Pairs","INGRAM","9780813181066       ","9780813181066","Adolph Rupp and the Rise of Kentucky Basketball","Bolin, James Duane","Paperback","University Press of Kentucky","12/15/20",21.95,"","STOCKED & SHIPPED"," "," ",3,3,0,0,null,"40.00","","N","","","","","","","",""
"SL00020","wahlstedtj","04/15/2024","09:14:15","IMMEDIATE RELEASE","                              ","DC Pairs","INGRAM","9780813187242       ","9780813187242","Kentucky Basketball: Two Decades Behind the Scenes","Leach, Tom","Paperback","Mike Pratt and Tom Leach","11/23/21",19.95,"","PART. SHP. - REST B/O"," "," ",3,2,1,0,null,"40.00","","N","","","","","","","",""
"SL00020","wahlstedtj","04/15/2024","09:14:15","IMMEDIATE RELEASE","                              ","DC Pairs","INGRAM","9780819500458       ","9780819500458","Suddenly We","Shockley, Evie","Paperback","Wesleyan University Press","03/07/23",15.95,"","STOCKED & SHIPPED"," "," ",2,2,0,0,null,"40.00","","N","","","","","","","",""
"SL00020","wahlstedtj","04/15/2024","09:14:15","IMMEDIATE RELEASE","                              ","DC Pairs","INGRAM","9780967542416       ","9780967542416","Black Box: Poems","Walker, Frank X.","Paperback","Ohio University Press Distributed Titles","11/17/20",18.95,"","OUT OF STOCK, B/O"," "," ",3,0,3,0,null,"40.00","","N","","","","","","","",""
"SL00020","wahlstedtj","04/15/2024","09:14:15","IMMEDIATE RELEASE","                              ","DC Pairs","INGRAM","9781088117071       ","9781088117071","Just Go With It","Wright, Madison","Paperback","Madison Wright","03/17/23",18.99,"","Primary standard service"," "," ",2,2,0,0,null,"40.00","","N","","","","","","","",""
"SL00020","wahlstedtj","04/15/2024","09:14:15","IMMEDIATE RELEASE","                              ","DC Pairs","INGRAM","9781088219553       ","9781088219553","Just Friends","Wright, Madison","Paperback","Madison Wright","07/14/23",18.99,"","Primary standard service"," "," ",2,2,0,0,null,"40.00","","N","","","","","","","",""
"SL00020","wahlstedtj","04/15/2024","09:14:15","IMMEDIATE RELEASE","                              ","DC Pairs","INGRAM","9781250131843       ","9781250131843","Sport of Kings","Morgan, C. E.","Paperback","Picador USA","05/02/17",21,"","STOCKED & SHIPPED"," "," ",2,2,0,0,null,"40.00","","N","","","","","","","",""
"SL00020","wahlstedtj","04/15/2024","09:14:15","IMMEDIATE RELEASE","                              ","DC Pairs","INGRAM","9781250180636       ","9781250180636","Renegades","Meyer, Marissa","Paperback","Square Fish","10/02/18",12.99,"","STOCKED & SHIPPED"," "," ",3,3,0,0,null,"40.00","","N","","","","","","","",""
"SL00020","wahlstedtj","04/15/2024","09:14:15","IMMEDIATE RELEASE","                              ","DC Pairs","INGRAM","9781250214997       ","9781250214997","Severance","Ma, Ling","Paperback","Picador USA","05/07/19",18,"","STOCKED & SHIPPED"," "," ",2,2,0,0,null,"40.00","","N","","","","","","","",""
